Bank_Name,City,State,Cert,Acquiring_Institution,Closing_Date,Estimated_Loss,Total_Assets,Total_Deposits
Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,2012-07-06,66261000,153208000,164181000
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,2012-06-15,28751000,169489000,160024000
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,2012-06-15,44760000,150962000,147896000
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,2012-06-15,33106000,163859000,156402000
Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,2012-06-08,10243000,43077000,42302000
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,2012-06-08,23756000,533114000,472704000
First Capital Bank,Kingfisher,OK,416,F & M Bank,2012-06-08,8725000,44448000,44828000
Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,2012-06-08,17732000,54373000,53082000
"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,2012-05-18,10672000,51553000,45149000
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,2012-05-04,15098000,101026000,99067000
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,2012-04-27,26331000,129253000,129023000
HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,2012-04-27,26694000,163019000,145534000
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,2012-04-27,58160000,162460000,150951000
"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,2012-04-27,79681000,463840000,458053000
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,2012-04-27,83230000,433512000,415943000
"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,2012-04-20,12013000,48861000,47786000
Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,2012-03-30,97229000,818237000,747640000
Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",2012-03-23,30279000,95725000,90632000
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,2012-03-23,69582000,268703000,198953000
New City Bank,Chicago,IL,57597,No Acquirer,2012-03-09,14523000,71202000,72399000
Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2012-03-02,40404000,143678000,116813000
Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,2012-02-24,51763000,278860000,266589000
Home Savings of America,Little Falls,MN,29178,No Acquirer,2012-02-24,43353000,434111000,432223000
Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",2012-02-10,18454000,93894000,89485000
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",2012-02-10,38335000,182561000,171365000
First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",2012-01-27,54383000,397082000,378309000
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,2012-01-27,35346000,105029000,102833000
BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",2012-01-27,74064000,261947000,259571000
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,2012-01-27,351815000,1009154000,1037716000
Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",2012-01-20,13697000,71485000,71080000
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,2012-01-20,192145000,516760000,509065000
American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",2012-01-20,4671000,19259000,17548000
Western National Bank,Phoenix,AZ,57917,Washington Federal,2011-12-16,41735000,162872000,144491000
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,2011-12-16,25065000,125976000,112050000
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,2011-11-18,16053000,91580000,81967000
Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,2011-11-18,48824000,383132000,347720000
Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,2011-11-10,20376000,62383000,55906000
"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,2011-11-04,10944000,106075000,105461000
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,2011-11-04,43575000,198081000,169135000
All American Bank,Des Plaines,IL,57759,International Bank of Chicago,2011-10-28,13753000,34800000,30542000
Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",2011-10-21,169247000,1280964000,1239630000
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,2011-10-21,26299000,209048000,212184000
Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,2011-10-21,64965000,165291000,157808000
Decatur First Bank,Decatur,GA,34392,Fidelity Bank,2011-10-21,24568000,184750000,172042000
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,2011-10-14,88194000,198993000,178773000
Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,2011-10-14,69574000,195034000,180835000
"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,2011-10-14,44112000,161430000,159628000
First State Bank,Cranford,NJ,58046,Northfield Bank,2011-10-14,45629000,191852000,188099000
The RiverBank,Wyoming,MN,10216,Central Bank,2011-10-07,71176000,419723000,384120000
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,2011-10-07,93109000,351492000,280649000
First International Bank,Plano,TX,33513,American First National Bank,2011-09-30,58022000,239916000,208775000
Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,2011-09-23,40895000,288765000,253079000
Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,2011-09-23,239166000,985096000,901845000
The First National Bank of Florida,Milton,FL,25155,CharterBank,2011-09-09,75749000,296841000,280095000
CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2011-09-02,33845000,102338000,96583000
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2011-09-02,54248000,150751000,140612000
Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",2011-08-19,187521000,1700117000,1253835000
First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,2011-08-19,22171000,164599000,159673000
First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,2011-08-19,34064000,141016000,137215000
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",2011-08-18,15828000,46818000,45770000
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,2011-08-12,103328000,538091000,524290000
Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,2011-08-05,29378000,110723000,104021000
Bank of Whitman,Colfax,WA,22528,Columbia State Bank,2011-08-05,101311000,548570000,515732000
Integra Bank National Association,Evansville,IN,4392,Old National Bank,2011-07-29,30575000,1994430000,1693592000
"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,2011-07-29,49181000,232648000,209737000
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,2011-07-29,19851000,83493000,72955000
Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",2011-07-22,135746000,954106000,818670000
LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,2011-07-22,37389000,266482000,244362000
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,2011-07-22,11403000,41252000,41434000
Summit Bank,Prescott,AZ,57442,The Foothills Bank,2011-07-15,14868000,73066000,67471000
First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",2011-07-15,13110000,225035000,207621000
High Trust Bank,Stockbridge,GA,19554,Ameris Bank,2011-07-15,70772000,180340000,177221000
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,2011-07-15,40782000,177715000,158123000
Signature Bank,Windsor,CO,57835,Points West Community Bank,2011-07-08,23311000,62518000,60349000
Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,2011-07-08,254944000,665806000,635202000
First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,2011-07-08,193253000,896864000,830530000
Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,2011-06-24,34480000,103716000,89554000
First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,2011-06-17,33477000,98624000,92641000
McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,2011-06-17,75418000,339929000,324403000
Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",2011-06-03,31355000,208204000,191614000
First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,2011-05-27,33596000,173478000,163303000
First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",2011-05-20,134843000,730981000,702231000
